9-Layer SendToString — Encode/Decode table (implemented set)
blend model: out = round((src*128 + dst*127)/255); bottom alpha 1

Layer legend (top -> bottom):
  L1 = R2 (top)
  L2 = G38
  L3 = G4
  L4 = B46
  L5 = B222
  L6 = B62
  L7 = R124
  L8 = G252
  L9 = B255 (bottom, alpha 1)

mask bits เรียง L9..L1 (ซ้าย = ชั้นล่างสุด); 1 = layer เปิด

mask(L9..L1)   layers ON                            R   G   B   hex
------------------------------------------------------------------------
001101111      L1+L2+L3+L4+L6+L7                    2  10   4   0x020A04
001110000      L5+L6+L7                            15   0 127   0x0F007F
001110001      L1+L5+L6+L7                          8   0  63   0x08003F
001110010      L2+L5+L6+L7                          7  19  63   0x07133F
001110011      L1+L2+L5+L6+L7                       4   9  31   0x04091F
001110100      L3+L5+L6+L7                          7   2  63   0x07023F
001110101      L1+L3+L5+L6+L7                       4   1  31   0x04011F
001110110      L2+L3+L5+L6+L7                       3  20  31   0x03141F
001110111      L1+L2+L3+L5+L6+L7                    2  10  15   0x020A0F
001111000      L4+L5+L6+L7                          7   0  86   0x070056
001111001      L1+L4+L5+L6+L7                       4   0  43   0x04002B
001111010      L2+L4+L5+L6+L7                       3  19  43   0x03132B
001111011      L1+L2+L4+L5+L6+L7                    2   9  21   0x020915
001111100      L3+L4+L5+L6+L7                       3   2  43   0x03022B
001111101      L1+L3+L4+L5+L6+L7                    2   1  21   0x020115
001111110      L2+L3+L4+L5+L6+L7                    1  20  21   0x011415
001111111      L1+L2+L3+L4+L5+L6+L7                 2  10  10   0x020A0A
010000000      L8                                   0 126   0   0x007E00
010000001      L1+L8                                1  63   0   0x013F00
010000010      L2+L8                                0  82   0   0x005200
010000011      L1+L2+L8                             1  41   0   0x012900
010000100      L3+L8                                0  65   0   0x004100
010000101      L1+L3+L8                             1  32   0   0x012000
010000110      L2+L3+L8                             0  51   0   0x003300
010000111      L1+L2+L3+L8                          1  25   0   0x011900
010001000      L4+L8                                0  63  23   0x003F17
010001001      L1+L4+L8                             1  31  11   0x011F0B
010001010      L2+L4+L8                             0  50  11   0x00320B
010001011      L1+L2+L4+L8                          1  25   5   0x011905
010001100      L3+L4+L8                             0  33  11   0x00210B
010001101      L1+L3+L4+L8                          1  16   5   0x011005
010001110      L2+L3+L4+L8                          0  36   5   0x002405
010001111      L1+L2+L3+L4+L8                       1  18   2   0x011202
010010000      L5+L8                                0  63 111   0x003F6F
010010001      L1+L5+L8                             1  31  55   0x011F37
010010010      L2+L5+L8                             0  50  55   0x003237
010010011      L1+L2+L5+L8                          1  25  27   0x01191B
010010100      L3+L5+L8                             0  33  55   0x002137
010010101      L1+L3+L5+L8                          1  16  27   0x01101B
010010110      L2+L3+L5+L8                          0  36  27   0x00241B
010010111      L1+L2+L3+L5+L8                       1  18  13   0x01120D
010011000      L4+L5+L8                             0  31  78   0x001F4E
010011001      L1+L4+L5+L8                          1  15  39   0x010F27
010011010      L2+L4+L5+L8                          0  35  39   0x002327
010011011      L1+L2+L4+L5+L8                       1  17  19   0x011113
010011100      L3+L4+L5+L8                          0  17  39   0x001127
010011101      L1+L3+L4+L5+L8                       1   8  19   0x010813
010011110      L2+L3+L4+L5+L8                       0  28  19   0x001C13
010011111      L1+L2+L3+L4+L5+L8                    1  14   9   0x010E09
010100000      L6+L8                                0  63  31   0x003F1F
010100001      L1+L6+L8                             1  31  15   0x011F0F
010100010      L2+L6+L8                             0  50  15   0x00320F
010100011      L1+L2+L6+L8                          1  25   7   0x011907
010100100      L3+L6+L8                             0  33  15   0x00210F
010100101      L1+L3+L6+L8                          1  16   7   0x011007
010100110      L2+L3+L6+L8                          0  36   7   0x002407
010100111      L1+L2+L3+L6+L8                       1  18   3   0x011203
010101000      L4+L6+L8                             0  31  39   0x001F27
010101001      L1+L4+L6+L8                          1  15  19   0x010F13
010101010      L2+L4+L6+L8                          0  35  19   0x002313
010101011      L1+L2+L4+L6+L8                       1  17   9   0x011109
010101100      L3+L4+L6+L8                          0  17  19   0x001113
010101101      L1+L3+L4+L6+L8                       1   8   9   0x010809
010101110      L2+L3+L4+L6+L8                       0  28   9   0x001C09
010101111      L1+L2+L3+L4+L6+L8                    1  14   4   0x010E04
010110000      L5+L6+L8                             0  31 127   0x001F7F
010110001      L1+L5+L6+L8                          1  15  63   0x010F3F
010110010      L2+L5+L6+L8                          0  35  63   0x00233F
010110011      L1+L2+L5+L6+L8                       1  17  31   0x01111F
010110100      L3+L5+L6+L8                          0  17  63   0x00113F
010110101      L1+L3+L5+L6+L8                       1   8  31   0x01081F
010110110      L2+L3+L5+L6+L8                       0  28  31   0x001C1F
010110111      L1+L2+L3+L5+L6+L8                    1  14  15   0x010E0F
010111000      L4+L5+L6+L8                          0  15  86   0x000F56
010111001      L1+L4+L5+L6+L8                       1   7  43   0x01072B
010111010      L2+L4+L5+L6+L8                       0  27  43   0x001B2B
010111011      L1+L2+L4+L5+L6+L8                    1  13  21   0x010D15
010111100      L3+L4+L5+L6+L8                       0   9  43   0x00092B
010111101      L1+L3+L4+L5+L6+L8                    1   4  21   0x010415
010111110      L2+L3+L4+L5+L6+L8                    0  24  21   0x001815
